'main' bucket:
    innounp (2.66.1)
    intermodal (0.1.15)
    invoke-build (5.14.22)
    ipcalc (0.51)
    iperf3 (3.20)
    ipinfo-cli (3.3.1)
    ipopt (3.14.3)
    ispc (1.29.1)
    istioctl (1.28.2)
    isx (0.3.11)
    iverilog (12-20220611)
    jabba (0.14.0)
    janet (1.40.1)
    jaq (2.3.0)
    jbang (0.135.1)
    jc (1.25.6)
    jcli (0.0.47)
    jd-cli (1.2.1)
    jdtls (1.55.0-202512191249)
    jdupes (1.31.1)
    jenkins (2.543)
    jenkins-lts (2.528.3)
    jfrog (2.87.0)
    jhead (3.04)
    jid (0.7.6)
    jira (1.0.27)
    jj (0.36.0)
    jnv (0.6.1)
    jo (1.9)
    jojodiff (0.8.1)
    jom (1.1.5)
    jp (0.2.1)
    jpegoptim (1.5.6)
    jprq (2.4)
    jq (1.8.1)
    jreleaser (1.21.0)
    jruby (10.0.2.0)
    jsign (7.4)
    jsonschema (13.4.0)
    juicefs (1.3.1)
    julia (1.12.2)
    juliaup (1.18.9)
    just (1.45.0)
    jwt-cli (6.2.0)
    jx (3.16.43)
    k0s (1.34.2+k0s.0)
    k2tf (0.8.0)
    k3d (5.8.3)
    k3sup (0.13.11)
    k6 (1.4.2)
    k9s (0.50.16)
    kaf (0.2.13)
    kafka (3.8.0)
    kafka-exporter (1.9.0)
    kalk (0.13.0)
    kalker (2.2.2)
    kapacitor (1.8.2)
    kapp (0.65.0)
    karate (1.5.2)
    kcptun (20251219)
    keptn-cli (1.4.5)
    kim (0.1.0-beta.7)
    kimi-cli (0.67)
    kind (0.31.0)
    kiota (1.29.0)
    knative (1.20.0)
    ko (0.18.1)
    kompose (1.37.0)
    kondo (0.8)
    kopia (0.22.3)
    kops (1.34.1)
    kotlin (2.3.0)
    kotlin-native (2.3.0)
    krew (0.4.5)
    ktlint (1.8.0)
    ktunnel (1.6.1)
    ktx-software (4.4.2)
    kube-linter (0.8.1)
    kubeadm (1.35.0)
    kubecolor (0.5.3)
    kubeconform (0.7.0)
    kubectl (1.35.0)
    kubectx (0.9.5)
    kubefwd (1.22.5)
    kubelet (1.35.0)
    kubens (0.9.5)
    kubent (0.7.3)
    kubescape (3.0.46)
    kubeseal (0.34.0)
    kubeshark (52.11.0)
    kubetail (0.10.1)
    kubeval (0.16.1)
    kubo (0.39.0)
    kusion (0.15.0)
    kustomize (5.8.0)
    kyverno-cli (1.16.1)
    lab (0.25.1)
    lame (3.100.1)
    latex (24.1)
    latexindent (3.24.7)
    lazydocker (0.24.3)
    ldc (1.41.0)
    lean-cli (1.2.4)
    lefthook (2.0.12)
    legit (1.2.0)
    lego (4.30.1)
    leiningen (2.12.0)
    lemminx (0.29.0)
    less (685)
    lessmsi (2.11.2)
    lf (r40)
    lftp (4.9.2)
    libavif (1.3.0)
    libjpeg-turbo (3.1.3)
    libjxl (0.11.1)
    libvips (8.18.0)
    libwebp (1.6.0)
    libxml2 (2.9.3)
    lilypond (2.24.4)
    links (2.30)
    liquibase (5.0.1)
    listmonk (5.1.0)
    llvm (21.1.8)
    llvm-arm64 (21.1.8)
    ln (0.2018.07.25)
    lobster (2025.4)
    localstack (4.12.0)
    loft (3.4.10)
    lrzsz (0.12.21rc)
    lsd (1.2.0)
    lsix (1.9.1)
    lua (5.4.8-1)
    lua-for-windows (5.1.5-52)
    lua-language-server (3.16.3)
    luacheck (1.2.0)
    luajit (2.1.1765007043-1)
    luarocks (3.12.2)
    luau (0.703)
    luau-lsp (1.58.0)
    lutgen (1.0.1)
    lux (0.24.1)
    lwc (0.4.5)
    lxc (6.6.0)
    lychee (0.22.0)
    lynx (2.9.2)
    lz4 (1.10.0)
    lzip (1.22)
    m4 (1.4.14-1)
    macchina (6.4.0)
    mach2 (0.7.0.0)
    mage (1.15.0)
    magic-wormhole (0.21.1)
    magic-wormhole-rs (0.7.6)
    mailhog (1.0.1)
    mailpit (1.28.0)
    mailsend (1.19)
    mailsend-go (1.0.10)
    make (4.4.1)
    mandoc (1.13.1)
    mariadb (12.1.2)
    markdown-oxide (0.25.10)
    marksman (2025-12-13)
    marp (4.2.3)
    mask (0.11.6)
    maven (3.9.12)
    mcfly (0.9.3)
    mdbook (0.5.2)
    mdcat (2.7.1)
    mdq (0.9.0)
    mediainfo (25.10)
    mediamtx (1.15.5)
    megacmd (2.3.0)
    megatools (1.11.5.20250706)
    meilisearch (1.31.0)
    memcached (1.6.39)
    mercurial (7.1.2)
    mergiraf (0.16.1)
    meson (1.10.0)
    meta-package-manager (6.0.0)
    metabase (0.57.7)
    metastore (1.1.2-9-gdafa727)
    micro (2.0.14)
    microk8s (1.35)
    micronaut (4.10.6)
    migrate (4.19.1)
    mihomo (1.19.18)
    miktex (24.1)
    mill (1.0.6)
    miller (6.15.0)
    mingit (2.52.0)
    mingit-busybox (2.52.0)
    mingw (15.2.0-rt_v13-rev0)
    mingw-mstorsjo-llvm-ucrt (21.1.8-20251216)
    mingw-nuwen (19.0)
    mingw-winlibs (15.2.0-13.0.0-r4)
    minify (2.24.8)
    minikube (1.37.0)
    minio (2025-09-07T16-13-09Z)
    minio-client (2025-08-13T08-35-41Z)
    miniserve (0.32.0)
    minishift (1.34.3)
    minisign (0.12)
    mise (2025.12.12)
    mls-software-openssh (10.0p1-1)
    mob (5.4.0)
    mockery (3.6.1)
    modd (0.8)
    modern7z (1.9.1)
    mods (1.8.1)
    mold (2.40.4)
    monero-cli (0.18.4.4)
    mongodb (8.2.3)
    mongodb-atlas-cli (1.51.0)
    mongodb-database-tools (100.14.0)
    mono (6.12.0.206)
    monolith (2.10.1)
    mosh-client (1.3.2)
    mosquitto (2.0.22)
    mozjpeg (4.1.5)
    mpd (0.24.6)
    mpg123 (1.32.10)
    mprocs (0.8.2)
    mpxplay (1.68)
    msival2 (5.0.18362.1)
    msmpi (10.1.1)
    msys (rev13)
    msys2 (2025-12-13)
    mtn (3.5.0)
    multi-gitter (0.61.0)
    multipass (1.16.1)
    mutagen (0.18.1)
    mutagen-compose (0.18.1)
    mvndaemon (1.0.3)
    mysql (9.5.0)
    mysql-lts (8.4.7)
    mysql-shell (9.5.0)
    mysql-workbench (8.0.45)
    n-m3u8dl-cli (3.0.2)
    naiveproxy (143.0.7499.109-2)
    nali (0.8.1)
    nanarun (1.0.92.0)
    nanazip (5.0.1263.0)
    nancy (1.0.52)
    nano (7.2-22.1)
    nasm (3.01)
    nats-server (2.12.3)
    navi (2.24.0)
    navidrome (0.59.0)
    nconvert (7.221)
    ncspot (1.3.2)
    neko (2.4.1)
    neo-cowsay (2.0.4)
    neofetch (7.1.0)
    neovim (0.11.5)
    nerdctl (2.2.1)
    nero-aac (1.5.4.0)
    netcat (1.12)
    netcoredbg (3.1.3-1062)
    nextdns (1.46.0)
    nfpm (2.44.1)
    nginx (1.29.4)
    ngrok (3.34.1)
    nim (2.2.6)
    ninja (1.13.2)
    ninja-kitware (1.11.1.g95dee.kitware.jobserver-1)
    nircmd (2.87)
    nixpacks (1.39.0)
    nmap (7.98)
    nodejs (25.2.1)
    nodejs-lts (24.12.0)
    nomad (1.11.1)
    nomino (1.6.4)
    noti (3.8.0)
    nova (3.11.10)
    nssm (2.24-103)
    ntfs2btrfs (20230501)
    ntfy (2.15.0)
    ntop (0.3.21)
    nu (0.109.1)
    nuclei (3.6.1)
    nuget (7.0.1)
    numbat (1.16.0)
    nunit-console (3.20.1)
    nunit-extension-nunit-project-loader (3.8.0)
    nunit-extension-nunit-v2-driver (3.9.0)
    nunit-extension-nunit-v2-result-writer (3.8.0)
    nunit-extension-teamcity-event-listener (1.0.10)
    nunit-extension-vs-project-loader (3.9.0)
    nvm (1.2.2)
    nvs (1.7.1)
    nyagos (4.4.18_1)
    oauth2c (1.18.0)
    objconv (2.53)
    oci-cli (3.71.4)
    octave (10.3.0)
    octopustools (9.0.0)
    octosql (0.13.0)
    odbc2parquet (6.0.0)
    odo (3.16.1)
    offlineinsiderenroll (2.6.4)
    oh-my-posh (28.5.1)
    oha (1.12.1)
    oidn (2.3.3)
    okteto (3.14.0)
    ollama (0.13.5)
    omnisharp (1.39.15)
    omnisharp-http (1.39.15)
    opa (1.12.1)
    opam (2.5.0)
    openapi-generator-cli (7.18.0)
    openconnect (9.12)
    opencv (4.12.0)
    openfga (0.7.8)
    openlist (4.1.8)
    openocd (0.12.0)
    openresty (1.27.1.2)
    openshift-okd-client (4.21.0-okd-scos.ec.15)
    openshift-origin-client (3.11.0)
    openssh (10.0.0.0p2)
    openssl (3.6.0)
    openssl-light (3.6.0)
    openssl-lts (3.0.18)
    openssl-lts-light (3.0.18)
    opentofu (1.11.2)
    optipng (7.9.1)
    opus-tools (0.2-opus-1.3)
    oracle-instant-client (23.9.0.25.07)
    oracle-instant-client-odbc (23.9.0.25.07)
    oracle-instant-client-sdk (23.9.0.25.07)
    oracle-instant-client-sqlplus (23.9.0.25.07)
    oscdimg (2.56)
    osquery (5.20.0)
    ossgadget (0.1.422)
    osslsigncode (2.10)
    ossutil (1.7.18)
    osv-scanner (2.3.1)
    ouch (0.6.1)
    outwit (1.25)
    ov (0.50.2)
    oxipng (10.0.0)
    oxlint (1.35.0)
    p4 (2024.2-2697822)
    pack (0.39.1)
    packer (1.14.3)
    pacparser (1.4.6)
    paket (9.0.2)
    pandoc (3.8.3)
    pandoc-crossref (0.3.22b)
    par2cmdline (1.0.0)
    passbolt-cli (0.3.2)
    pastel (0.11.0)
    patch (2.6.1)
    pciutils (3.5.5)
    pcre2grep (10.39)
    pcregrep (8.45)
    pdf2djvu (0.9.19)
    pdf2svg (1.0)
    pdfbox (3.0.6)
    pdfcpu (0.11.1)
    pdftk (2.02)
    pe-sieve (0.4.1.1)
    peco (0.5.11)
    perfetto (53.0)
    perl (5.42.0.1)
    pester (5.7.1)
    pget (0.2.1)
    phantomjs (2.1.1)
    php (8.5.1)
    php-nts (8.5.1)
    pipx (1.8.0)
    pixi (0.62.2)
    pkg-config (0.26-1)
    pkl-cli (0.30.2)
    plex-server (1.42.2.10156-f737b826c)
    pluto (5.22.7)
    png2html (1.1)
    png2jpeg (1.0.2.2)
    pngcrush (1.8.11)
    pngquant (2.18.0)
    pnpm (10.26.2)
    pocketbase (0.35.0)
    podman (5.7.1)
    podman-tui (1.10.0)
    poetry (2.2.1)
    polaris (0.15.0)
    pomsky (0.11)
    popeye (0.22.1)
    poppler (25.12.0-0)
    portainer (2.33.6)
    portal (1.2.3)
    portwarden (1.0.0)
    postgresql (18.1)
    postgrest (12.2.3)
    potrace (1.16)
    powerline-go (1.25)
    powerping (1.3.5)
    powersession (1.4.7)
    powersession-rs (0.1.12)
    powershell-beautifier (1.2.5)
    powershell-yaml (0.4.12)
    powershelleditorservices (4.4.0)
    prek (0.2.24)
    premake (5.0.0-beta7)
    presenterm (0.15.1)
    presentmon (2.4.0)
    prince (16.1)
    prm (3.6.4)
    process-governor (3.2.25275)
    procs (0.14.10)
    procyon (0.5.36)
    prometheus (3.8.1)
    prometheus-pushgateway (1.11.2)
    promtail (3.6.3)
    protoc-gen-grpc-web (2.0.2)
    protolint (0.56.4)
    prowiz (1.70)
    proxychains (0.6.8)
    prqlc (0.13.10)
    prs (0.5.1)
    psake (4.9.0)
    psgithub (0.15.240)
    pshazz (0.2022.03.09)
    psqlodbc (17.00.0007)
    psutils (0.2023.06.28)
    pt (2.2.0)
    ptags (0.3.5)
    pueue (4.0.2)
    pulumi (3.213.0)
    pup (0.4.0)
    puppet-agent (7.34.0)
    puppet-bolt (3.27.1)
    purescript (0.15.15)
    pwsh (7.5.4)
    px (0.10.2)
    pyenv (3.1.1)
    pyflow (0.3.1)
    pyoxidizer (0.24.0)
